islem_tarihi,aciklama,tutar,bakiye,hesap_no,banka_adi
08/07/2025,1801374784x080725100625uye_yþyery_ucrety_-_taksyt_(bsmv),-0.23,808916.68,102.01,ykb
08/07/2025,1801374784x080725100625uye_yþyery_ucrety_-_taksyt,-4.66,808916.91,102.01,ykb
08/07/2025,1801374784x080725100625taksytlysatiþkatkipayi,-8.11,808921.57,102.01,ykb
08/07/2025,1801374784x080725100625taksytsatiþ,405.6,808929.68,102.01,ykb
07/07/2025,1801374784x070725060725uye_yþyery_ucrety_-_peþyn_(bsmv),-39.8,808524.08,102.01,ykb
07/07/2025,1801374784x070725060725uye_yþyery_ucrety_-_peþyn,-796.09,808563.88,102.01,ykb
07/07/2025,1801374784x070725060725peþynsatiþ,42122.95,809359.97,102.01,ykb
07/07/2025,1801374784x070725270525peþynsatiþ,4490.5,767237.02,102.01,ykb
07/07/2025,1801374784x070725050625peþynsatiþkatkipayi,-7.13,762746.52,102.01,ykb
07/07/2025,1801374784x070725050625peþynsatiþ,1425.5,762753.65,102.01,ykb
07/07/2025,1801374784x070725100425uye_yþyery_ucrety_-_taksyt_(bsmv),-0.64,761328.15,102.01,ykb
07/07/2025,1801374784x070725100425uye_yþyery_ucrety_-_taksyt,-12.86,761328.79,102.01,ykb
07/07/2025,1801374784x070725100425taksytsatiþ,1118.3,761341.65,102.01,ykb
07/07/2025,1801374784x070725090625uye_yþyery_ucrety_-_taksyt_(bsmv),-0.64,760223.35,102.01,ykb
07/07/2025,1801374784x070725090625uye_yþyery_ucrety_-_taksyt,-12.79,760223.99,102.01,ykb
07/07/2025,1801374784x070725090625taksytlysatiþkatkipayi,-33.37,760236.78,102.01,ykb
07/07/2025,1801374784x070725090625taksytsatiþ,1112.28,760270.15,102.01,ykb
06/07/2025,1801374784x060725050725uye_yþyery_ucrety_-_peþyn_(bsmv),-57.0,759157.87,102.01,ykb
06/07/2025,1801374784x060725050725uye_yþyery_ucrety_-_peþyn,-1139.78,759214.87,102.01,ykb
06/07/2025,1801374784x060725050725peþynsatiþ,60307.65,760354.65,102.01,ykb
06/07/2025,1801374784x060725260525peþynsatiþ,15406.25,700047.0,102.01,ykb
06/07/2025,1801374784x060725040625peþynsatiþkatkipayi,-3.08,684640.75,102.01,ykb
06/07/2025,1801374784x060725040625peþynsatiþ,615.45,684643.83,102.01,ykb
05/07/2025,1801374784x050725250525peþynsatiþ,29833.0,684028.38,102.01,ykb
05/07/2025,1801374784x050725040725uye_yþyery_ucrety_-_peþyn_(bsmv),-10.39,654195.38,102.01,ykb
05/07/2025,1801374784x050725040725uye_yþyery_ucrety_-_peþyn,-207.85,654205.77,102.01,ykb
05/07/2025,1801374784x050725040725peþynsatiþ,10997.9,654413.62,102.01,ykb
05/07/2025,1801374784x050725030625peþynsatiþkatkipayi,-23.53,643415.72,102.01,ykb
05/07/2025,1801374784x050725030625peþynsatiþ,4705.4,643439.25,102.01,ykb
05/07/2025,1801374784x050725080525uye_yþyery_ucrety_-_taksyt_(bsmv),-0.49,638733.85,102.01,ykb
05/07/2025,1801374784x050725080525uye_yþyery_ucrety_-_taksyt,-9.82,638734.34,102.01,ykb
05/07/2025,1801374784x050725080525taksytsatiþ,855.0,638744.16,102.01,ykb
04/07/2025,1801374784x040725030725uye_yþyery_ucrety_-_peþyn_(bsmv),-15.79,637889.16,102.01,ykb
04/07/2025,1801374784x040725030725uye_yþyery_ucrety_-_peþyn,-315.82,637904.95,102.01,ykb
04/07/2025,1801374784x040725030725peþynsatiþ,16710.9,638220.77,102.01,ykb
04/07/2025,1801374784x040725240525peþynsatiþ,12917.79,621509.87,102.01,ykb
04/07/2025,1801374784x040725070425uye_yþyery_ucrety_-_taksyt_(bsmv),-0.79,608592.08,102.01,ykb
04/07/2025,1801374784x040725070425uye_yþyery_ucrety_-_taksyt,-15.78,608592.87,102.01,ykb
04/07/2025,1801374784x040725070425taksytsatiþ,1372.65,608608.65,102.01,ykb
03/07/2025,1801374784x030725020725uye_yþyery_ucrety_-_peþyn_(bsmv),-85.36,607236.0,102.01,ykb
03/07/2025,1801374784x030725020725uye_yþyery_ucrety_-_peþyn,-1707.18,607321.36,102.01,ykb
03/07/2025,1801374784x030725020725peþynsatiþ,90329.85,609028.54,102.01,ykb
03/07/2025,1801374784x030725010625peþynsatiþkatkipayi,-26.41,518698.69,102.01,ykb
03/07/2025,1801374784x030725010625peþynsatiþ,5279.7,518725.1,102.01,ykb
03/07/2025,1801374784x030725050625uye_yþyery_ucrety_-_taksyt_(bsmv),-1.0,513445.4,102.01,ykb
03/07/2025,1801374784x030725050625uye_yþyery_ucrety_-_taksyt,-20.1,513446.4,102.01,ykb
03/07/2025,1801374784x030725050625taksytlysatiþkatkipayi,-44.98,513466.5,102.01,ykb
03/07/2025,1801374784x030725050625taksytsatiþ,1749.0,513511.48,102.01,ykb
03/07/2025,1801374784x030725230525peþynsatiþ,1620.4,511762.48,102.01,ykb
03/07/2025,1801374784x030725060525uye_yþyery_ucrety_-_taksyt_(bsmv),-0.16,510142.08,102.01,ykb
03/07/2025,1801374784x030725060525uye_yþyery_ucrety_-_taksyt,-3.27,510142.24,102.01,ykb
03/07/2025,1801374784x030725060525taksytsatiþ,285.0,510145.51,102.01,ykb
02/07/2025,1801374784x020725220525peþynsatiþ,6747.81,509860.51,102.01,ykb
02/07/2025,1801374784x020725310525peþynsatiþkatkipayi,-28.22,503112.7,102.01,ykb
02/07/2025,1801374784x020725310525peþynsatiþ,5644.22,503140.92,102.01,ykb
01/07/2025,1801374784x010725210525peþynsatiþ,7355.84,497496.7,102.01,ykb
